<<<<<<< HEAD
2, 5, 2025-05-25, Week, 4, 5, 25, 2025-05-25, Day, 4, 0, 5, 2, 2025-05-25, Day, 4, 0, 0.0, 0.0
 2, 5, 2025-05-25, Day, 4, 0, 0.0, 0.0
 321, 555, 2025-05-25, Dauy, 2, 0, 0.0, 0.0
 
=======
54231, 1904, 2025-08-15, 1, 1, 60.0, 9.0, 69.0
14235, 1919, 2025-08-17, 7, 3, 300.0, 45.0, 345.0
12654, 1902, 2025-08-12, 1, 2, 60.0, 9.0, 69.0
15243, 1914, 2025-08-12, 1, 1, 60.0, 9.0, 69.0
75648, 1920, 2025-08-12, 7, 4, 300.0, 45.0, 345.0
12354, 1919, 2025-08-20, 7, 4, 300.0, 45.0, 345.0
>>>>>>> 5305ef1cd33aea7f431ab525e5c15f31136f2ae4
