131, 2022-02-01, Monthly Stand Fees, 1920, 175.00, 26.25, 201.25 
132, 2022-02-01, Monthly Stand Fees, 1925, 175.00, 26.25, 201.25 
133, 2022-02-01, Monthly Stand Fees, 1934, 175.00, 26.25, 201.25 
134, 2022-02-01, Monthly Stand Fees, 1976, 175.00, 26.25, 201.25 
135, 2022-03-01, Monthly Stand Fees, 1920, 175.00, 26.25, 201.25 
136, 2022-03-01, Monthly Stand Fees, 1925, 175.00, 26.25, 201.25 
137, 2022-03-01, Monthly Stand Fees, 1934, 175.00, 26.25, 201.25 
138, 2022-03-01, Monthly Stand Fees, 1976, 175.00, 26.25, 201.25 
139, 2022-04-01, Monthly Stand Fees, 1920, 175.00, 26.25, 201.25 
140, 2022-04-01, Monthly Stand Fees, 1925, 175.00, 26.25, 201.25
141, 2022-04-01, Monthly Stand Fees, 1934, 175.00, 26.25, 201.25 
142, 2022-04-01, Monthly Stand Fees, 1976, 175.00, 26.25, 201.25
